Date,Temperature (C)
1980-01-16,1.3863747,1.8785745
1980-02-16,1.7446134,1.9210172
1980-03-15,7.5300603,1.3493364
1980-04-15,16.682327,1.1901593
1980-05-15,20.395357,0.9173
1980-06-15,25.063158,0.6386845
1980-07-15,23.740114,0.9340594
1980-08-15,24.81964,0.9233478
1980-09-15,21.397915,0.8105545
1980-10-15,14.5390415,0.9851616
1980-11-15,5.8924646,1.1377192
1980-12-15,0.01455751,1.2134069
1981-01-16,1.9928012,0.89090544
1981-02-16,4.6592298,0.8760888
1981-03-15,7.9217424,1.2524469
1981-04-15,13.121599,1.2860649
1981-05-15,15.932777,0.8343246
1981-06-15,23.704414,0.7367114
1981-07-15,26.384195,0.56061697
1981-08-15,25.062057,1.1262805
1981-09-15,18.31349,0.9779096
1981-10-15,13.334056,1.211805
1981-11-15,2.8713386,1.2260101
1981-12-15,-2.2166996,1.2733481
1982-01-16,-2.1758828,0.86531293
1982-02-16,1.565636,1.1374236
1982-03-15,3.897289,1.2432472
1982-04-15,12.156287,1.5514464
1982-05-15,18.612627,0.9547594
1982-06-15,25.171251,0.72950417
1982-07-15,25.832144,0.6672146
1982-08-15,25.722631,0.88788974
1982-09-15,18.449272,0.9079056
1982-10-15,10.538825,1.4155314
1982-11-15,1.9799043,1.7217433
1982-12-15,-3.690546,1.0837064
1983-01-16,-1.5328538,0.8651884
1983-02-16,0.4888187,1.7363611
1983-03-15,4.444012,1.5731812
1983-04-15,15.062042,1.5971254
1983-05-15,17.95074,1.2636472
1983-06-15,24.67556,0.60405844
1983-07-15,25.89138,0.6889276
1983-08-15,28.313736,1.3973387
1983-09-15,23.5865,1.0786902
1983-10-15,14.12777,1.0533357
1983-11-15,6.3114862,1.47645
1983-12-15,-0.098120116,1.1506141
1984-01-16,-3.2429936,1.7099501
1984-02-16,0.75105745,2.202421
1984-03-15,5.4489737,1.4526519
1984-04-15,10.621518,1.1737134
1984-05-15,19.005726,0.91440403
1984-06-15,21.764063,0.76434773
1984-07-15,24.409536,0.52727586
1984-08-15,24.7136,0.7082664
1984-09-15,20.101013,0.8746519
1984-10-15,15.406616,1.0833077
1984-11-15,7.4560823,1.2032114
1984-12-15,1.4630818,1.3937279
1985-01-16,1.7282269,1.7207717
1985-02-16,6.473846,1.4552177
1985-03-15,7.387164,1.648315
1985-04-15,10.876827,1.1986998
1985-05-15,16.216291,0.8915479
1985-06-15,22.748323,0.9248441
1985-07-15,25.69231,0.6913789
1985-08-15,24.443209,0.9444023
1985-09-15,18.499447,0.88072485
1985-10-15,10.282759,1.0001632
1985-11-15,7.184303,1.2751622
1985-12-15,0.24012071,1.0911022
1986-01-16,-2.007708,1.7563033
1986-02-16,1.5133218,1.4008282
1986-03-15,7.7999024,1.7024332
1986-04-15,14.06415,1.0834206
1986-05-15,17.114065,0.9792943
1986-06-15,22.535759,0.73111945
